### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0002022770766883, 'Volume': 0.0015482599999999999, 'Sequence': 1, 'Time Stamp': '18-07-06-12-55'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0004201086956521, 'Volume': 0.01, 'Sequence': 1, 'Time Stamp': '18-07-06-12-56'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0001973927373982, 'Volume': 0.76328, 'Sequence': 1, 'Time Stamp': '18-07-06-12-56'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0006393476531423, 'Volume': 0.10380608, 'Sequence': 1, 'Time Stamp': '18-07-06-12-57'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0007661067834195, 'Volume': 0.5854739239999999, 'Sequence': 1, 'Time Stamp': '18-07-06-12-57'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0004816689404274, 'Volume': 0.21226816799999998, 'Sequence': 1, 'Time Stamp': '18-07-06-12-57'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.00052505684402, 'Volume': 0.21226816799999998, 'Sequence': 1, 'Time Stamp': '18-07-06-12-58'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0006716198704102, 'Volume': 0.21226816799999998, 'Sequence': 1, 'Time Stamp': '18-07-06-12-58'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0008422761639473, 'Volume': 0.21226816799999998, 'Sequence': 1, 'Time Stamp': '18-07-06-12-59'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0000428300611481, 'Volume': 0.0414675, 'Sequence': 0, 'Time Stamp': '18-07-06-12-59'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0007853842655752, 'Volume': 0.130597208, 'Sequence': 1, 'Time Stamp': '18-07-06-12-59'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0004875417661099, 'Volume': 0.10380608, 'Sequence': 1, 'Time Stamp': '18-07-06-13-00'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0013333174224344, 'Volume': 0.10380608, 'Sequence': 1, 'Time Stamp': '18-07-06-13-00'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0005385475622228, 'Volume': 0.10364288, 'Sequence': 1, 'Time Stamp': '18-07-06-13-00'}
{'profit_coin': 'ETH', 'trair': ['EOS/ETH', 'EOS/USD', 'ETH/USD'], 'Unbalance factor': 1.0003923680949005, 'Volume': 0.16447547200000004, 'Sequence': 0, 'Time Stamp': '18-07-06-13-04'}
{'profit_coin': 'ETH', 'trair': ['EOS/ETH', 'EOS/USD', 'ETH/USD'], 'Unbalance factor': 1.0002191399792129, 'Volume': 0.16447547200000004, 'Sequence': 0, 'Time Stamp': '18-07-06-13-05'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0000064806278763, 'Volume': 0.04156875, 'Sequence': 0, 'Time Stamp': '18-07-06-13-06'}
{'profit_coin': 'ETH', 'trair': ['EOS/ETH', 'EOS/USD', 'ETH/USD'], 'Unbalance factor': 1.0020222784750787, 'Volume': 0.057767814, 'Sequence': 1, 'Time Stamp': '18-07-06-13-12'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0002674914536873, 'Volume': 0.008, 'Sequence': 1, 'Time Stamp': '18-07-06-13-21'}
{'profit_coin': 'ETH', 'trair': ['EOS/ETH', 'EOS/USD', 'ETH/USD'], 'Unbalance factor': 1.0006998770319016, 'Volume': 0.057767814, 'Sequence': 1, 'Time Stamp': '18-07-06-13-27'}
{'profit_coin': 'ETH', 'trair': ['EOS/ETH', 'EOS/USD', 'ETH/USD'], 'Unbalance factor': 1.0006790517998245, 'Volume': 0.057767814, 'Sequence': 1, 'Time Stamp': '18-07-06-13-27'}
{'profit_coin': 'ETH', 'trair': ['EOS/ETH', 'EOS/USD', 'ETH/USD'], 'Unbalance factor': 1.000764485915658, 'Volume': 0.057767814, 'Sequence': 1, 'Time Stamp': '18-07-06-13-28'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.000156577191521, 'Volume': 0.0414675, 'Sequence': 0, 'Time Stamp': '18-07-06-13-37'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.000056446092556, 'Volume': 0.0414825, 'Sequence': 0, 'Time Stamp': '18-07-06-13-37'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0005535010550235, 'Volume': 0.02610632, 'Sequence': 1, 'Time Stamp': '18-07-06-13-40'}
{'profit_coin': 'ETH', 'trair': ['EOS/ETH', 'EOS/USD', 'ETH/USD'], 'Unbalance factor': 1.0000031089171306, 'Volume': 0.37018, 'Sequence': 1, 'Time Stamp': '18-07-06-13-40'}
{'profit_coin': 'ETH', 'trair': ['EOS/ETH', 'EOS/USD', 'ETH/USD'], 'Unbalance factor': 1.0000415884139222, 'Volume': 0.37012, 'Sequence': 1, 'Time Stamp': '18-07-06-13-46'}
{'profit_coin': 'ETH', 'trair': ['EOS/ETH', 'EOS/USD', 'ETH/USD'], 'Unbalance factor': 1.00019345147009, 'Volume': 0.12954200000000002, 'Sequence': 1, 'Time Stamp': '18-07-06-13-47'}
{'profit_coin': 'ETH', 'trair': ['EOS/ETH', 'EOS/USD', 'ETH/USD'], 'Unbalance factor': 1.0001502166878877, 'Volume': 0.12954200000000002, 'Sequence': 1, 'Time Stamp': '18-07-06-13-47'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0000097048635166, 'Volume': 0.00011062, 'Sequence': 1, 'Time Stamp': '18-07-06-13-52'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.000050263395847, 'Volume': 0.0415575, 'Sequence': 0, 'Time Stamp': '18-07-06-14-02'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0022549702633814, 'Volume': 0.125134369, 'Sequence': 1, 'Time Stamp': '18-07-06-14-06'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0014091237987561, 'Volume': 0.11484002999999998, 'Sequence': 1, 'Time Stamp': '18-07-06-14-07'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0013036160000002, 'Volume': 0.62574825, 'Sequence': 1, 'Time Stamp': '18-07-06-14-07'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0015810094120856, 'Volume': 0.17560224000000002, 'Sequence': 1, 'Time Stamp': '18-07-06-14-07'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0004696798697774, 'Volume': 0.02401272, 'Sequence': 1, 'Time Stamp': '18-07-06-14-07'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0024446803243314, 'Volume': 0.04078338, 'Sequence': 0, 'Time Stamp': '18-07-06-14-08'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0007602804366034, 'Volume': 0.030904890000000004, 'Sequence': 0, 'Time Stamp': '18-07-06-14-08'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0009929501706485, 'Volume': 0.1, 'Sequence': 1, 'Time Stamp': '18-07-06-14-15'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.001082147742818, 'Volume': 0.04167375, 'Sequence': 1, 'Time Stamp': '18-07-06-14-17'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0000060410677618, 'Volume': 0.04161375, 'Sequence': 1, 'Time Stamp': '18-07-06-14-18'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0003428918140684, 'Volume': 0.166455, 'Sequence': 1, 'Time Stamp': '18-07-06-14-19'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.000315540215123, 'Volume': 0.05515209, 'Sequence': 1, 'Time Stamp': '18-07-06-14-19'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0000838492117887, 'Volume': 0.0865566, 'Sequence': 1, 'Time Stamp': '18-07-06-14-20'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0002979768786129, 'Volume': 0.014, 'Sequence': 1, 'Time Stamp': '18-07-06-14-20'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.001101687289089, 'Volume': 0.014, 'Sequence': 1, 'Time Stamp': '18-07-06-14-20'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0003120260452365, 'Volume': 0.04161375, 'Sequence': 1, 'Time Stamp': '18-07-06-14-20'}
