### Possibly profitable unbalances ###
{'profit_coin': 'ETH', 'trair': ['KCS/ETH', 'NEO/KCS', 'NEO/ETH'], 'Unbalance factor': 1.0034693808189044, 'Volume': 6.189e-07, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-21-43'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'LOOM/USDT', 'LOOM/ETH'], 'Unbalance factor': 1.0038255287922946, 'Volume': 0.0476842185, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-21-56'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'ZINC/ETH', 'ZINC/BTC'], 'Unbalance factor': 1.0063434039350607, 'Volume': 6.51456e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-09-22-04'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'SPHTX/ETH', 'SPHTX/BTC'], 'Unbalance factor': 1.0046270583771348, 'Volume': 2.98e-09, 'Sequence': 'straight', 'Time Stamp': '18-07-09-22-18'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'DRGN/USDT', 'DRGN/BTC'], 'Unbalance factor': 1.0035725181828035, 'Volume': 0.0033924244800000005, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-22-20'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GO/ETH', 'GO/BTC'], 'Unbalance factor': 1.0042220055813953, 'Volume': 0.00016511956999999997, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-22-23'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'SPHTX/ETH', 'SPHTX/BTC'], 'Unbalance factor': 1.0070420272674647, 'Volume': 2.98e-09, 'Sequence': 'straight', 'Time Stamp': '18-07-09-22-25'}
{'profit_coin': 'BTC', 'trair': ['CBC/BTC', 'CBC/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0218029006516027, 'Volume': 1.8151257e-05, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-22-28'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GO/ETH', 'GO/BTC'], 'Unbalance factor': 1.003128183206107, 'Volume': 7.103232e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-22-30'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TRAC/ETH', 'TRAC/BTC'], 'Unbalance factor': 1.0064402578041451, 'Volume': 0.00514116396, 'Sequence': 'straight', 'Time Stamp': '18-07-09-22-32'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'DRGN/USDT', 'DRGN/BTC'], 'Unbalance factor': 1.0267666636667956, 'Volume': 0.11901145500000002, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-22-35'}
{'profit_coin': 'BTC', 'trair': ['DGB/BTC', 'DGB/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0064413691318328, 'Volume': 6.19e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-09-22-36'}
{'profit_coin': 'ETH', 'trair': ['DENT/ETH', 'DENT/USDT', 'ETH/USDT'], 'Unbalance factor': 1.0066467477546357, 'Volume': 5.65e-09, 'Sequence': 'straight', 'Time Stamp': '18-07-09-22-43'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'HPB/ETH', 'HPB/BTC'], 'Unbalance factor': 1.0065322829016803, 'Volume': 7.114677e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-09-22-44'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'KEY/ETH', 'KEY/BTC'], 'Unbalance factor': 1.00395570464135, 'Volume': 0.0051778041480000005, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-22-45'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TKY/ETH', 'TKY/BTC'], 'Unbalance factor': 1.005157045152657, 'Volume': 3.556538e-05, 'Sequence': 'straight', 'Time Stamp': '18-07-09-22-47'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'HPB/ETH', 'HPB/BTC'], 'Unbalance factor': 1.0061427658929667, 'Volume': 7.1176790000000005e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-09-22-52'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'SPHTX/ETH', 'SPHTX/BTC'], 'Unbalance factor': 1.0054740708411232, 'Volume': 2.863e-09, 'Sequence': 'straight', 'Time Stamp': '18-07-09-22-54'}
{'profit_coin': 'BTC', 'trair': ['CAPP/BTC', 'CAPP/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0036606165289257, 'Volume': 2.1296000000000003e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-09-22-57'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TNC/ETH', 'TNC/BTC'], 'Unbalance factor': 1.0053746580029728, 'Volume': 0.031904289312000005, 'Sequence': 'straight', 'Time Stamp': '18-07-09-23-01'}
{'profit_coin': 'BTC', 'trair': ['CAPP/BTC', 'CAPP/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0031156776859502, 'Volume': 2.1296000000000003e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-09-23-04'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TNC/ETH', 'TNC/BTC'], 'Unbalance factor': 1.007009883128147, 'Volume': 0.012249076562000001, 'Sequence': 'straight', 'Time Stamp': '18-07-09-23-08'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'RHOC/ETH', 'RHOC/BTC'], 'Unbalance factor': 1.0051012250744047, 'Volume': 0.0071061773450600005, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-23-14'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'OCN/USDT', 'OCN/BTC'], 'Unbalance factor': 1.0059712440556547, 'Volume': 0.025726287599999998, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-23-18'}
{'profit_coin': 'BTC', 'trair': ['DGB/BTC', 'DGB/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0035197181818183, 'Volume': 0.012071579300000001, 'Sequence': 'straight', 'Time Stamp': '18-07-09-23-19'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'OCN/USDT', 'OCN/BTC'], 'Unbalance factor': 1.0050734597671522, 'Volume': 0.3122712216, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-23-25'}
{'profit_coin': 'BTC', 'trair': ['DRGN/BTC', 'DRGN/NEO', 'NEO/BTC'], 'Unbalance factor': 1.0050449166484356, 'Volume': 1.5392366e-05, 'Sequence': 'straight', 'Time Stamp': '18-07-09-23-33'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'FOTA/ETH', 'FOTA/BTC'], 'Unbalance factor': 1.0057789540161854, 'Volume': 0.030511844500196, 'Sequence': 'straight', 'Time Stamp': '18-07-09-23-34'}
{'profit_coin': 'BTC', 'trair': ['DRGN/BTC', 'DRGN/NEO', 'NEO/BTC'], 'Unbalance factor': 1.0073808426128892, 'Volume': 1.5196500000000001e-05, 'Sequence': 'straight', 'Time Stamp': '18-07-09-23-40'}
{'profit_coin': 'BTC', 'trair': ['DRGN/BTC', 'DRGN/KCS', 'KCS/BTC'], 'Unbalance factor': 1.0076088105726873, 'Volume': 4.51e-05, 'Sequence': 'straight', 'Time Stamp': '18-07-09-23-47'}
