### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GO/ETH', 'GO/BTC'], 'Unbalance factor': 1.019761675949367, 'Volume': 0.01123071663, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-14-16'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'POLL/ETH', 'POLL/BTC'], 'Unbalance factor': 1.0053417999999998, 'Volume': 0.0018105913, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-14-18'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'DENT/USDT', 'DENT/BTC'], 'Unbalance factor': 1.0151773906906718, 'Volume': 0.04582621, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-14-21'}
{'profit_coin': 'BTC', 'trair': ['AGI/BTC', 'AGI/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0059900184727444, 'Volume': 1.643e-09, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-14-29'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'CS/USDT', 'CS/BTC'], 'Unbalance factor': 1.0074491255645757, 'Volume': 4.3000000000000005e-09, 'Sequence': 'straight', 'Time Stamp': '18-07-10-14-29'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'DRGN/USDT', 'DRGN/BTC'], 'Unbalance factor': 1.0102630704544038, 'Volume': 0.07, 'Sequence': 'straight', 'Time Stamp': '18-07-10-14-30'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'HAV/USDT', 'HAV/BTC'], 'Unbalance factor': 1.005260802099704, 'Volume': 2.6443682e-09, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-14-30'}
{'profit_coin': 'BTC', 'trair': ['CV/BTC', 'CV/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0064838052729796, 'Volume': 2.2931e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-14-30'}
{'profit_coin': 'BTC', 'trair': ['DBC/BTC', 'DBC/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0046897164935267, 'Volume': 5.249999999999999e-10, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-14-31'}
{'profit_coin': 'ETH', 'trair': ['DRGN/ETH', 'DRGN/USDT', 'ETH/USDT'], 'Unbalance factor': 1.0034928724751866, 'Volume': 0.00012161083, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-14-31'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'EXY/ETH', 'EXY/BTC'], 'Unbalance factor': 1.00302006614036, 'Volume': 0.038952180803999994, 'Sequence': 'straight', 'Time Stamp': '18-07-10-14-32'}
{'profit_coin': 'BTC', 'trair': ['CV/BTC', 'CV/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0070640968832283, 'Volume': 2.4425999999999997e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-14-38'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'EXY/ETH', 'EXY/BTC'], 'Unbalance factor': 1.0031396240151487, 'Volume': 0.06835, 'Sequence': 'straight', 'Time Stamp': '18-07-10-14-40'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'IOTX/ETH', 'IOTX/BTC'], 'Unbalance factor': 1.0035522613001269, 'Volume': 1.1687680000000001e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-10-14-41'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'SNOV/ETH', 'SNOV/BTC'], 'Unbalance factor': 1.0077667858156028, 'Volume': 6.831496e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-14-42'}
{'profit_coin': 'BTC', 'trair': ['CV/BTC', 'CV/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0044286904572846, 'Volume': 2.4425999999999997e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-14-47'}
{'profit_coin': 'BTC', 'trair': ['DAG/BTC', 'DAG/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0034012448186527, 'Volume': 0.0019100546080000002, 'Sequence': 'straight', 'Time Stamp': '18-07-10-14-47'}
