### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GVT/ETH', 'GVT/BTC'], 'Unbalance factor': 1.0030265305528456, 'Volume': 7.06814e-08, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-18-32'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'LALA/ETH', 'LALA/BTC'], 'Unbalance factor': 1.0068831933546605, 'Volume': 0.0009331801919999999, 'Sequence': 'straight', 'Time Stamp': '18-07-15-18-33'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GO/ETH', 'GO/BTC'], 'Unbalance factor': 1.0039770419097838, 'Volume': 0.00031000048, 'Sequence': 'straight', 'Time Stamp': '18-07-15-18-48'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'QKC/ETH', 'QKC/BTC'], 'Unbalance factor': 1.0056457098039215, 'Volume': 0.01464163233, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-18-50'}
{'profit_coin': 'BTC', 'trair': ['BOS/BTC', 'BOS/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0081019562234583, 'Volume': 4.6239200000000006e-07, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-19-14'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'LYM/ETH', 'LYM/BTC'], 'Unbalance factor': 1.0053459407491967, 'Volume': 0.0120003629, 'Sequence': 'straight', 'Time Stamp': '18-07-15-19-19'}
{'profit_coin': 'ETH', 'trair': ['KCS/ETH', 'TKY/KCS', 'TKY/ETH'], 'Unbalance factor': 1.003408563764345, 'Volume': 0.32635007496, 'Sequence': 'straight', 'Time Stamp': '18-07-15-19-22'}
{'profit_coin': 'BTC', 'trair': ['BOS/BTC', 'BOS/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0077587008282853, 'Volume': 4.6239200000000006e-07, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-19-24'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'HST/ETH', 'HST/BTC'], 'Unbalance factor': 1.0060767089911429, 'Volume': 0.00190644645959, 'Sequence': 'straight', 'Time Stamp': '18-07-15-19-27'}
{'profit_coin': 'BTC', 'trair': ['BOS/BTC', 'BOS/ETH', 'ETH/BTC'], 'Unbalance factor': 1.010226099974061, 'Volume': 4.6239200000000006e-07, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-19-33'}
{'profit_coin': 'BTC', 'trair': ['BOS/BTC', 'BOS/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0069487538367787, 'Volume': 4.6239200000000006e-07, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-19-50'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TIO/ETH', 'TIO/BTC'], 'Unbalance factor': 1.0045745880098267, 'Volume': 5.5890000000000004e-09, 'Sequence': 'straight', 'Time Stamp': '18-07-15-20-03'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GVT/ETH', 'GVT/BTC'], 'Unbalance factor': 1.0050740113522019, 'Volume': 7.061666e-08, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-21-21'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GVT/ETH', 'GVT/BTC'], 'Unbalance factor': 1.0053424422841393, 'Volume': 7.063551999999999e-08, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-21-29'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GVT/ETH', 'GVT/BTC'], 'Unbalance factor': 1.0050352980894837, 'Volume': 7.061394e-08, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-21-36'}
